country,imr,preterm,GINI,health,adolecent
Australia,3,7.6,30.3,6109.822819,14.405
Austria,2.9,10.9,26.3,5427.260142,7.379
Belgium,3.3,7.9,25.9,5092.601211,8.3764
Canada,4.3,7.8,32.1,5717.973612,10.0832
Denmark,2.9,6.7,24.8,6269.540641,4.1192
Finland,1.9,5.5,26.8,4449.131065,6.6682
France,3.5,6.7,30.9,4863.55014,9.0482
Germany,3.1,9.2,27,5006.499458,6.9604
Greece,3.6,6.6,34.4,2146.240311,7.6694
Iceland,1.6,6.5,28,4125.877176,6.48
Ireland,3,6.4,33.9,,10.7732
Israel,3.2,8,37.6,2598.892176,10.0612
Italy,2.9,6.5,31.9,3154.900148,6.0838
Japan,2,5.9,37.6,3965.582074,4.1584
Netherlands,3.2,8,25.1,6144.868844,4.0888
New Zealand,4.7,7.6,36.2,4063.20516,23.9378
Norway,2,6,25,9714.785781,5.9398
Portugal,3,7.7,34.2,2036.773953,10.2834
Slovenia,2.1,7.6,23.7,2084.590974,3.9208
Spain,3.5,7.4,34,2581.028193,8.522
Sweden,2.4,5.9,23,5680.33351,5.618
Switzerland,3.4,7.4,27.8,9276.472585,3.0578
United Kingdom,3.5,7.8,32.3,3597.917253,15.3342
United States,5.6,12,45,9145.828151,24.1102