country,1960,1990,2015
Australia,20.3,7.6,3
Austria,37.3,8,2.9
Belgium,29.5,8.3,3.3
Canada,27.8,6.8,4.3
Denmark,21.3,7.3,2.9
Finland,21.9,5.5,1.9
France,23.7,7.4,3.5
Germany,,7,3.1
Greece,48.3,11.3,3.6
Iceland,17.5,5.1,1.6
Ireland,30.4,7.7,3
Israel,,9.7,3.2
Italy,44.2,8.3,2.9
Japan,30.4,4.6,2
Netherlands,16.4,6.8,3.2
New Zealand,22.6,9.2,4.7
Norway,18.4,7,2
Portugal,84.6,11.5,3
Slovenia,,8.8,2.1
Spain,47.7,9.3,3.5
Sweden,16.3,5.8,2.4
Switzerland,21.6,6.7,3.4
United Kingdom,22.9,7.9,3.5
United States,25.9,9.4,5.6